,Date,10591226
689,10-12-2023,1
690,09-12-2023,1
691,09-12-2018,1
692,07-12-2023,1
693,04-12-2023,1
694,03-12-2023,1
695,02-12-2023,1
696,25-11-2023,1
697,20-11-2017,1
698,14-11-2023,1
699,11-11-2018,1
700,02-11-2024,1
701,28-10-2024,1
702,26-10-2023,1
703,26-10-2018,1
704,24-10-2023,1
705,23-10-2023,1
706,22-10-2015,1
707,20-10-2023,1
708,16-10-2023,1
709,30-9-2024,1
710,29-9-2024,1
711,28-9-2024,1
712,23-9-2024,1
713,21-9-2024,1
714,16-9-2024,1
715,15-9-2024,1
716,09-9-2024,1
717,08-9-2024,1
718,01-9-2565,1
719,01-9-2024,1
720,20-8-2018,1
721,18-8-2018,1
722,25-7-0004,1
723,22-7-0004,1
724,19-7-2018,1
725,18-7-2017,1
726,17-7-0004,1
727,16-7-2018,1
728,13-7-0004,1
729,10-7-2565,1
730,08-7-2018,1
731,06-7-0004,1
732,28-6-2018,1
733,25-6-2018,1
734,22-6-2024,1
735,20-6-2024,1
736,16-6-2019,1
737,11-6-2015,1
738,03-6-2024,1
739,29-5-2024,1
740,24-5-2024,1
741,21-5-2024,1
742,18-5-2024,1
743,14-5-2024,1
744,11-5-2024,1
745,06-5-2025,1
746,05-5-2025,1
747,04-5-2025,1
748,03-5-2024,1
749,01-5-2024,1
750,29-4-2025,1
751,26-4-2024,1
752,25-4-2018,1
753,24-4-2024,1
754,23-4-2024,1
755,20-4-2025,1
756,20-4-2024,1
757,18-4-2024,1
758,13-4-2025,1
759,06-4-2025,1
760,05-4-2024,1
761,04-4-2024,1
762,28-3-2024,1
763,22-3-2025,1
764,21-3-2024,1
765,20-3-2025,1
766,18-3-2024,1
767,09-3-2024,1
768,07-3-2024,1
769,05-3-2018,1
770,01-3-2024,1
771,23-2-2024,1
772,22-2-2025,1
773,17-2-2024,1
774,16-2-2024,1
775,14-2-2024,1
776,12-2-2024,1
777,11-2-2025,1
778,09-2-2024,1
779,03-2-2024,1
780,02-2-2025,1
781,01-2-2024,1
782,28-1-2025,1
783,27-1-2024,1
784,26-1-2024,1
785,22-1-2024,1
786,22-1-2020,1
787,20-1-2024,1
788,19-1-2024,1
789,18-1-2024,1
790,17-1-2024,1
791,13-1-2024,1
792,11-1-2024,1
793,09-1-2024,1
794,05-1-2024,1
